FULL_ADDRESS,STREET,CITY,ZIP,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"1468 OGDEN ST NW, WASHINGTON DC, 20010","1468 OGDEN ST NW"," WASHINGTON DC"," 20010",38.935127,-77.034734,1,rooftop,"1468 Ogden St NW",,"Washington, DC 20010",1468,"Ogden St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"2811 6TH ST NE, WASHINGTON DC, 20017","2811 6TH ST NE"," WASHINGTON DC"," 20017",38.925978,-76.998208,1,rooftop,"2811 6th St NE",,"Washington, DC 20017",2811,"6th St NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"3913 13TH ST NW, WASHINGTON DC, 20011","3913 13TH ST NW"," WASHINGTON DC"," 20011",38.939147,-77.029384,1,rooftop,"3913 13th St NW",,"Washington, DC 20011",3913,"13th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1442 SPRING RD NW 1, WASHINGTON DC, 20010","1442 SPRING RD NW 1"," WASHINGTON DC"," 20010",38.937249,-77.03495,1,rooftop,"1442 Spring Rd NW",1,"Washington, DC 20010",1442,"Spring Rd NW",,1,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1424 DECATUR ST NW, WASHINGTON DC, 20011","1424 DECATUR ST NW"," WASHINGTON DC"," 20011",38.948062,-77.034111,1,rooftop,"1424 Decatur St NW",,"Washington, DC 20011",1424,"Decatur St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"617 21ST ST NE, WASHINGTON DC, 20002","617 21ST ST NE"," WASHINGTON DC"," 20002",38.897609,-76.973953,1,rooftop,"617 21st St NE",,"Washington, DC 20002",617,"21st St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"236 WARREN ST NE, WASHINGTON DC, 20002","236 WARREN ST NE"," WASHINGTON DC"," 20002",38.892763,-76.986682,1,rooftop,"236 Warren St NE",,"Washington, DC 20002",236,"Warren St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1517 6TH ST NW, WASHINGTON DC, 20001","1517 6TH ST NW"," WASHINGTON DC"," 20001",38.910115,-77.019674,1,rooftop,"1517 6th St NW",,"Washington, DC 20001",1517,"6th St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"807 D ST NE, WASHINGTON DC, 20002","807 D ST NE"," WASHINGTON DC"," 20002",38.894641,-76.994536,1,rooftop,"807 D St NE",,"Washington, DC 20002",807,"D St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1104 H ST NE, WASHINGTON DC, 20002","1104 H ST NE"," WASHINGTON DC"," 20002",38.900395,-76.991217,1,rooftop,"1104 H St NE",,"Washington, DC 20002",1104,"H St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"6925 GEORGIA AVE NW, WASHINGTON DC, 20012","6925 GEORGIA AVE NW"," WASHINGTON DC"," 20012",38.974284,-77.026522,1,rooftop,"6925 Georgia Ave NW",,"Washington, DC 20012",6925,"Georgia Ave NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"1103 BLADENSBURG RD NE, WASHINGTON DC, 20002","1103 BLADENSBURG RD NE"," WASHINGTON DC"," 20002",38.903921,-76.980603,1,rooftop,"1103 Bladensburg Rd NE",,"Washington, DC 20002",1103,"Bladensburg Rd NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1425 5TH ST NW, WASHINGTON DC, 20001","1425 5TH ST NW"," WASHINGTON DC"," 20001",38.909397,-77.018668,1,rooftop,"1425 5th St NW",,"Washington, DC 20001",1425,"5th St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"2954 NASH PL SE, WASHINGTON DC, 20019","2954 NASH PL SE"," WASHINGTON DC"," 20019",38.873961,-76.965494,1,rooftop,"2954 Nash Pl SE",,"Washington, DC 20019",2954,"Nash Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"2951 NASH PL SE, WASHINGTON DC, 20019","2951 NASH PL SE"," WASHINGTON DC"," 20019",38.873673,-76.965496,1,rooftop,"2951 Nash Pl SE",,"Washington, DC 20019",2951,"Nash Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"2941 NASH PL SE, WASHINGTON DC, 20019","2941 NASH PL SE"," WASHINGTON DC"," 20019",38.873681,-76.966088,1,rooftop,"2941 Nash Pl SE",,"Washington, DC 20019",2941,"Nash Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"1418 TRINIDAD AVE NE, WASHINGTON DC, 20002","1418 TRINIDAD AVE NE"," WASHINGTON DC"," 20002",38.905009,-76.985277,1,rooftop,"1418 Trinidad Ave NE",,"Washington, DC 20002",1418,"Trinidad Ave NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"636 D ST NE, WASHINGTON DC, 20002","636 D ST NE"," WASHINGTON DC"," 20002",38.89496,-76.99721,1,rooftop,"636 D St NE",,"Washington, DC 20002",636,"D St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1143 6TH ST NE, WASHINGTON DC, 20002","1143 6TH ST NE"," WASHINGTON DC"," 20002",38.904877,-76.998199,1,rooftop,"1143 6th St NE",,"Washington, DC 20002",1143,"6th St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"664 E ST NE, WASHINGTON DC, 20002","664 E ST NE"," WASHINGTON DC"," 20002",38.896306,-76.996412,1,rooftop,"664 E St NE",,"Washington, DC 20002",664,"E St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1536 FORT DAVIS ST SE, WASHINGTON DC, 20020","1536 FORT DAVIS ST SE"," WASHINGTON DC"," 20020",38.868613,-76.946564,1,rooftop,"1536 Ft Davis St SE",,"Washington, DC 20020",1536,"Ft Davis St SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"2435 33RD ST SE, WASHINGTON DC, 20020","2435 33RD ST SE"," WASHINGTON DC"," 20020",38.859621,-76.960461,1,rooftop,"2435 33rd St SE",,"Washington, DC 20020",2435,"33rd St SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"4701 49TH ST NW, WASHINGTON DC, 20016","4701 49TH ST NW"," WASHINGTON DC"," 20016",38.951216,-77.096519,1,rooftop,"4701 49th St NW",,"Washington, DC 20016",4701,"49th St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"2704 36TH ST NW, WASHINGTON DC, 20007","2704 36TH ST NW"," WASHINGTON DC"," 20007",38.925155,-77.071145,1,rooftop,"2704 36th St NW",,"Washington, DC 20007",2704,"36th St NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"3902 KANSAS AVE NW, WASHINGTON DC, 20011","3902 KANSAS AVE NW"," WASHINGTON DC"," 20011",38.939072,-77.02834,1,rooftop,"3902 Kansas Ave NW",,"Washington, DC 20011",3902,"Kansas Ave NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"530 WHITTIER ST NW, WASHINGTON DC, 20012","530 WHITTIER ST NW"," WASHINGTON DC"," 20012",38.971055,-77.021186,1,rooftop,"530 Whittier St NW",,"Washington, DC 20012",530,"Whittier St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"3119 G ST SE, WASHINGTON DC, 20019","3119 G ST SE"," WASHINGTON DC"," 20019",38.88004,-76.96197,1,rooftop,"3119 G St SE",,"Washington, DC 20019",3119,"G St SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"1219 12TH ST NW, WASHINGTON DC, 20005","1219 12TH ST NW"," WASHINGTON DC"," 20005",38.90635,-77.027889,1,rooftop,"1219 12th St NW",,"Washington, DC 20005",1219,"12th St NW",,,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
"1635 LANG PL NE, WASHINGTON DC, 20002","1635 LANG PL NE"," WASHINGTON DC"," 20002",38.904231,-76.979505,1,rooftop,"1635 Lang Pl NE",,"Washington, DC 20002",1635,"Lang Pl NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"5042 6TH PL NE, WASHINGTON DC, 20017","5042 6TH PL NE"," WASHINGTON DC"," 20017",38.951071,-76.998227,1,rooftop,"5042 6th Pl NE",,"Washington, DC 20017",5042,"6th Pl NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"2122 RAND PL NE, WASHINGTON DC, 20002","2122 RAND PL NE"," WASHINGTON DC"," 20002",38.913539,-76.974399,1,rooftop,"2122 Rand Pl NE",,"Washington, DC 20002",2122,"Rand Pl NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"3845 SOUTH CAPITOL ST SW, WASHINGTON DC, 20032","3845 SOUTH CAPITOL ST SW"," WASHINGTON DC"," 20032",38.834018,-77.008664,1,rooftop,"3845 S Capitol St SW",,"Washington, DC 20032",3845,"S Capitol St SW",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"2405 3RD ST NE, WASHINGTON DC, 20002","2405 3RD ST NE"," WASHINGTON DC"," 20002",38.921533,-77.001828,1,rooftop,"2405 3rd St NE",,"Washington, DC 20002",2405,"3rd St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1251 SARATOGA AVE NE, WASHINGTON DC, 20018","1251 SARATOGA AVE NE"," WASHINGTON DC"," 20018",38.921688,-76.989355,1,rooftop,"1251 Saratoga Ave NE",,"Washington, DC 20018",1251,"Saratoga Ave NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"6409 NORTH CAPITOL ST NE, WASHINGTON DC, 20012","6409 NORTH CAPITOL ST NE"," WASHINGTON DC"," 20012",38.96766,-77.008821,1,rooftop,"6409 N Capitol St NE",,"Washington, DC 20012",6409,"N Capitol St NE",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"5622 KANSAS AVE NW, WASHINGTON DC, 20011","5622 KANSAS AVE NW"," WASHINGTON DC"," 20011",38.958318,-77.014078,1,rooftop,"5622 Kansas Ave NW",,"Washington, DC 20011",5622,"Kansas Ave NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"4902 9TH ST NW, WASHINGTON DC, 20011","4902 9TH ST NW"," WASHINGTON DC"," 20011",38.949984,-77.025689,1,rooftop,"4902 9th St NW",,"Washington, DC 20011",4902,"9th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1816 37TH ST NW, WASHINGTON DC, 20007","1816 37TH ST NW"," WASHINGTON DC"," 20007",38.915069,-77.073076,1,rooftop,"1816 37th St NW",,"Washington, DC 20007",1816,"37th St NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"4434 TINDALL ST NW, WASHINGTON DC, 20016","4434 TINDALL ST NW"," WASHINGTON DC"," 20016",38.94094,-77.085559,1,rooftop,"4434 Tindall St NW",,"Washington, DC 20016",4434,"Tindall St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"4233 NEBRASKA AVE NW, WASHINGTON DC, 20016","4233 NEBRASKA AVE NW"," WASHINGTON DC"," 20016",38.944412,-77.080026,1,rooftop,"4233 Nebraska Ave NW",,"Washington, DC 20016",4233,"Nebraska Ave NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"935 25TH ST NW, WASHINGTON DC, 20037","935 25TH ST NW"," WASHINGTON DC"," 20037",38.901696,-77.05305,1,rooftop,"935 25th St NW",,"Washington, DC 20037",935,"25th St NW",,,Washington,DC,"District of Columbia",20037,US,"Statewide (City of Washington)"
"1014 CONSTITUTION AVE NE, WASHINGTON DC, 20002","1014 CONSTITUTION AVE NE"," WASHINGTON DC"," 20002",38.892216,-76.992069,1,rooftop,"1014 Constitution Ave NE",,"Washington, DC 20002",1014,"Constitution Ave NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"2411 HUIDEKOPER PL NW, WASHINGTON DC, 20007","2411 HUIDEKOPER PL NW"," WASHINGTON DC"," 20007",38.921111,-77.075479,1,rooftop,"2411 Huidekoper Pl NW",,"Washington, DC 20007",2411,"Huidekoper Pl NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"3701 HARRISON ST NW, WASHINGTON DC, 20015","3701 HARRISON ST NW"," WASHINGTON DC"," 20015",38.957219,-77.071385,1,rooftop,"3701 Harrison St NW",,"Washington, DC 20015",3701,"Harrison St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"4108 MILITARY RD NW, WASHINGTON DC, 20015","4108 MILITARY RD NW"," WASHINGTON DC"," 20015",38.960787,-77.080759,1,rooftop,"4108 Military Rd NW",,"Washington, DC 20015",4108,"Military Rd NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"513 WEBSTER ST NW, WASHINGTON DC, 20011","513 WEBSTER ST NW"," WASHINGTON DC"," 20011",38.944354,-77.021038,1,rooftop,"513 Webster St NW",,"Washington, DC 20011",513,"Webster St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"36 R ST NE, WASHINGTON DC, 20002","36 R ST NE"," WASHINGTON DC"," 20002",38.912838,-77.007429,1,rooftop,"36 R St NE",,"Washington, DC 20002",36,"R St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"4610 43RD ST NW, WASHINGTON DC, 20016","4610 43RD ST NW"," WASHINGTON DC"," 20016",38.950443,-77.084054,1,rooftop,"4610 43rd St NW",,"Washington, DC 20016",4610,"43rd St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"103 ANACOSTIA RD SE, WASHINGTON DC, 20019","103 ANACOSTIA RD SE"," WASHINGTON DC"," 20019",38.888731,-76.952605,1,rooftop,"103 Anacostia Rd SE",,"Washington, DC 20019",103,"Anacostia Rd SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"815 VARNUM ST NE, WASHINGTON DC, 20017","815 VARNUM ST NE"," WASHINGTON DC"," 20017",38.943215,-76.99573,1,rooftop,"815 Varnum St NE",,"Washington, DC 20017",815,"Varnum St NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"5425 14TH ST NW, WASHINGTON DC, 20011","5425 14TH ST NW"," WASHINGTON DC"," 20011",38.955829,-77.033134,1,rooftop,"5425 14th St NW",,"Washington, DC 20011",5425,"14th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"533 21ST ST NE, WASHINGTON DC, 20002","533 21ST ST NE"," WASHINGTON DC"," 20002",38.897041,-76.974119,1,rooftop,"533 21st St NE",,"Washington, DC 20002",533,"21st St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"707 SOMERSET PL NW, WASHINGTON DC, 20011","707 SOMERSET PL NW"," WASHINGTON DC"," 20011",38.96686,-77.02292,1,rooftop,"707 Somerset Pl NW",,"Washington, DC 20011",707,"Somerset Pl NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1855 WISCONSIN AVE NW, WASHINGTON DC, 20007","1855 WISCONSIN AVE NW"," WASHINGTON DC"," 20007",38.916188,-77.067276,1,rooftop,"1855 Wisconsin Ave NW",,"Washington, DC 20007",1855,"Wisconsin Ave NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"1700 M ST NE, WASHINGTON DC, 20002","1700 M ST NE"," WASHINGTON DC"," 20002",38.905809,-76.978801,1,rooftop,"1700 M St NE",,"Washington, DC 20002",1700,"M St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1928 4TH ST NE, WASHINGTON DC, 20002","1928 4TH ST NE"," WASHINGTON DC"," 20002",38.916606,-77.000838,1,rooftop,"1928 4th St NE",,"Washington, DC 20002",1928,"4th St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1365 - 1369 H ST NE, WASHINGTON DC, 20002","1365 - 1369 H ST NE"," WASHINGTON DC"," 20002",38.899949,-76.986168,1,rooftop,"1365 H St NE",,"Washington, DC 20002",1365,"H St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"4007 COLE BLVD SE, WASHINGTON DC, 20032","4007 COLE BLVD SE"," WASHINGTON DC"," 20032",38.835064,-76.990646,1,rooftop,"4007 Cole Blvd SE",,"Washington, DC 20032",4007,"Cole Blvd SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"1339 FORT STEVENS DR NW, WASHINGTON DC, 20011","1339 FORT STEVENS DR NW"," WASHINGTON DC"," 20011",38.964702,-77.032377,1,rooftop,"1339 Ft Stevens Dr NW",,"Washington, DC 20011",1339,"Ft Stevens Dr NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1226 SOUTHERN AVE SE","1226 SOUTHERN AVE SE",,,38.835056,-76.986449,1,rooftop,"1226 Southern Ave SE",,"Washington, DC 20032",1226,"Southern Ave SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"3744 1/2 HAYES ST NE, WASHINGTON DC, 20019","3744 1/2 HAYES ST NE"," WASHINGTON DC"," 20019",38.9037,-76.948883,1,rooftop,"3744 1/2 Hayes St NE",,"Washington, DC 20019","3744 1/2","Hayes St NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"4250 MASSACHUSETTS AVE SE, WASHINGTON DC, 20024","4250 MASSACHUSETTS AVE SE"," WASHINGTON DC"," 20024",38.870025,-76.940238,0.99,rooftop,"4250 Massachusetts Ave SE",,"Washington, DC 20019",4250,"Massachusetts Ave SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"115 MISSISSIPPI AVE SE, WASHINGTON DC, 20032","115 MISSISSIPPI AVE SE"," WASHINGTON DC"," 20032",38.833487,-77.004848,1,rooftop,"115 Mississippi Ave SE",,"Washington, DC 20032",115,"Mississippi Ave SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"3512 BROTHERS PL SE, WASHINGTON DC, 20032","3512 BROTHERS PL SE"," WASHINGTON DC"," 20032",38.840343,-77.005433,1,rooftop,"3512 Brothers Pl SE",,"Washington, DC 20032",3512,"Brothers Pl SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"4890 MACARTHUR BLVD NW, WASHINGTON DC, 20007","4890 MACARTHUR BLVD NW"," WASHINGTON DC"," 20007",38.918157,-77.098512,1,rooftop,"4890 Macarthur Blvd NW",,"Washington, DC 20007",4890,"Macarthur Blvd NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"1429 MONTELLO AVE NE, WASHINGTON DC, 20002","1429 MONTELLO AVE NE"," WASHINGTON DC"," 20002",38.906187,-76.987556,1,rooftop,"1429 Montello Ave NE",,"Washington, DC 20002",1429,"Montello Ave NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1114 K ST NE, WASHINGTON DC, 20002","1114 K ST NE"," WASHINGTON DC"," 20002",38.902772,-76.99094,1,rooftop,"1114 K St NE",,"Washington, DC 20002",1114,"K St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1639 LANG PL NE, WASHINGTON DC, 20002","1639 LANG PL NE"," WASHINGTON DC"," 20002",38.904224,-76.979396,1,rooftop,"1639 Lang Pl NE",,"Washington, DC 20002",1639,"Lang Pl NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"808 NORTH CAROLINA AVE SE, WASHINGTON DC, 20003","808 NORTH CAROLINA AVE SE"," WASHINGTON DC"," 20003",38.888363,-76.99455,1,rooftop,"808 N Carolina Ave SE",,"Washington, DC 20003",808,"N Carolina Ave SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"1336 OTIS PL NW, WASHINGTON DC, 20010","1336 OTIS PL NW"," WASHINGTON DC"," 20010",38.934401,-77.031013,1,rooftop,"1336 Otis Pl NW",,"Washington, DC 20010",1336,"Otis Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"2804 MYRTLE AVE NE, WASHINGTON DC, 20018","2804 MYRTLE AVE NE"," WASHINGTON DC"," 20018",38.931324,-76.966984,1,rooftop,"2804 Myrtle Ave NE",,"Washington, DC 20018",2804,"Myrtle Ave NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"4324 7TH ST NW, WASHINGTON DC, 20011","4324 7TH ST NW"," WASHINGTON DC"," 20011",38.943658,-77.021921,1,rooftop,"4324 7th St NW",,"Washington, DC 20011",4324,"7th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"326 GALLATIN ST NW, WASHINGTON DC, 20011","326 GALLATIN ST NW"," WASHINGTON DC"," 20011",38.952002,-77.017063,1,rooftop,"326 Gallatin St NW",,"Washington, DC 20011",326,"Gallatin St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"413 COLUMBIA RD NW, WASHINGTON DC, 20001","413 COLUMBIA RD NW"," WASHINGTON DC"," 20001",38.928828,-77.018858,1,rooftop,"413 Columbia Rd NW",,"Washington, DC 20001",413,"Columbia Rd NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"1343 TAYLOR ST NW, WASHINGTON DC, 20011","1343 TAYLOR ST NW"," WASHINGTON DC"," 20011",38.940995,-77.031341,1,rooftop,"1343 Taylor St NW",,"Washington, DC 20011",1343,"Taylor St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"2622 10TH ST NE, WASHINGTON DC, 20018","2622 10TH ST NE"," WASHINGTON DC"," 20018",38.923795,-76.992656,1,rooftop,"2622 10th St NE",,"Washington, DC 20018",2622,"10th St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"1444 OAK ST NW, WASHINGTON DC, 20010","1444 OAK ST NW"," WASHINGTON DC"," 20010",38.934144,-77.034402,1,rooftop,"1444 Oak St NW",,"Washington, DC 20010",1444,"Oak St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"743 GIRARD ST NW 1, WASHINGTON DC, 20001","743 GIRARD ST NW 1"," WASHINGTON DC"," 20001",38.926153,-77.024359,1,rooftop,"743 Girard St NW",1,"Washington, DC 20001",743,"Girard St NW",,1,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"4323 4TH ST NW, WASHINGTON DC, 20011","4323 4TH ST NW"," WASHINGTON DC"," 20011",38.943952,-77.016972,1,rooftop,"4323 4th St NW",,"Washington, DC 20011",4323,"4th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1827 5TH ST NW 1, WASHINGTON DC, 20001","1827 5TH ST NW 1"," WASHINGTON DC"," 20001",38.915002,-77.018265,1,rooftop,"1827 5th St NW",1,"Washington, DC 20001",1827,"5th St NW",,1,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"107 ANACOSTIA AVE NE, WASHINGTON DC, 20019","107 ANACOSTIA AVE NE"," WASHINGTON DC"," 20019",38.890884,-76.960976,1,rooftop,"107 Anacostia Ave NE",,"Washington, DC 20019",107,"Anacostia Ave NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"514 BUCHANAN ST NW, WASHINGTON DC, 20011","514 BUCHANAN ST NW"," WASHINGTON DC"," 20011",38.946123,-77.020034,1,rooftop,"514 Buchanan St NW",,"Washington, DC 20011",514,"Buchanan St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1749 P ST NW, WASHINGTON DC, 20036","1749 P ST NW"," WASHINGTON DC"," 20036",38.909858,-77.040675,1,rooftop,"1749 P St NW",,"Washington, DC 20036",1749,"P St NW",,,Washington,DC,"District of Columbia",20036,US,"Statewide (City of Washington)"
"205 WEBSTER ST NW 1, WASHINGTON DC, 20011","205 WEBSTER ST NW 1"," WASHINGTON DC"," 20011",38.944529,-77.014591,1,rooftop,"205 Webster St NW",1,"Washington, DC 20011",205,"Webster St NW",,1,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"605 GALLATIN ST NW, WASHINGTON DC, 20011","605 GALLATIN ST NW"," WASHINGTON DC"," 20011",38.95227,-77.020428,1,rooftop,"605 Gallatin St NW",,"Washington, DC 20011",605,"Gallatin St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"5115 F ST SE, WASHINGTON DC, 20019","5115 F ST SE"," WASHINGTON DC"," 20019",38.881356,-76.928325,1,rooftop,"5115 F St SE",,"Washington, DC 20019",5115,"F St SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"4025 5TH ST NW, WASHINGTON DC, 20011","4025 5TH ST NW"," WASHINGTON DC"," 20011",38.940782,-77.0189,1,rooftop,"4025 5th St NW",,"Washington, DC 20011",4025,"5th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"5017 ILLINOIS AVE NW, WASHINGTON DC, 20011","5017 ILLINOIS AVE NW"," WASHINGTON DC"," 20011",38.951505,-77.024178,1,rooftop,"5017 Illinois Ave NW",,"Washington, DC 20011",5017,"Illinois Ave NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1725 INDEPENDENCE AVE SE, WASHINGTON DC, 20003","1725 INDEPENDENCE AVE SE"," WASHINGTON DC"," 20003",38.887422,-76.979711,1,rooftop,"1725 Independence Ave SE",,"Washington, DC 20003",1725,"Independence Ave SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"1339 E ST SE, WASHINGTON DC, 20003","1339 E ST SE"," WASHINGTON DC"," 20003",38.882622,-76.986626,1,rooftop,"1339 E St SE",,"Washington, DC 20003",1339,"E St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"2100 19TH ST NW, WASHINGTON DC, 20009","2100 19TH ST NW"," WASHINGTON DC"," 20009",38.91779,-77.044518,1,rooftop,"2100 19th St NW",,"Washington, DC 20009",2100,"19th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"128 U ST NE 1, WASHINGTON DC, 20002","128 U ST NE 1"," WASHINGTON DC"," 20002",38.917184,-77.005568,1,rooftop,"128 U St NE",1,"Washington, DC 20002",128,"U St NE",,1,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"648 G ST NE, WASHINGTON DC, 20002","648 G ST NE"," WASHINGTON DC"," 20002",38.899102,-76.997016,1,rooftop,"648 G St NE",,"Washington, DC 20002",648,"G St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"2458 MARTIN LUTHER KING JR AVE SE, WASHINGTON DC, 20020","2458 MARTIN LUTHER KING JR AVE SE"," WASHINGTON DC"," 20020",38.861403,-76.993253,1,rooftop,"2458 Martin Luther King Jr Ave SE",,"Washington, DC 20020",2458,"Martin Luther King Jr Ave SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
