"year","ISSUE_DATE","PERMIT_SUBTYPE_NAME","DESC_OF_WORK","FULL_ADDRESS","street","zip"
2017,"2017/12/01 05:00:00+00","ADDITION ALTERATION REPAIR","Installation of (1) wind/solar powered light pole at parking lot.","4100 MASSACHUSETTS AVE NW 000P1, WASHINGTON, DC 20016","4100 MASSACHUSETTS AVE NW 000P1","20016"
2017,"2017/07/26 04:00:00+00","ALTERATION AND REPAIR","Revision to Building Permit B1605152. Revision to 100 percent affordable housing. Changes include deletion of penthouse units and roof terraces, reduced unit count, revised footprint, added green communities requirements, construction type modified and green roof updated and solar panels added. TPR","1300 H ST NE, WASHINGTON, DC 20002","1300 H ST NE","20002"
2017,"2017/09/29 04:00:00+00","ALTERATION AND REPAIR","MODIFY ELECTRICAL AND PLUMBING IN KITCHEN, DINING ROOM AND SOLARIUM SPACES, APPROXIMATELY 45 SHEETS OF NEW DRYWALL.","1817 BAY ST SE, WASHINGTON, DC 20003","1817 BAY ST SE","20003"
2017,"2017/08/30 04:00:00+00","ALTERATION AND REPAIR","LIMITED INTERIOR RENOVATION OF EXISTING COMMERCIAL SPACE IN USE AS A VETERINARY CLINIC.
DEMOLITION OF EXISTING MECHANICAL SYSTEM, CEILING TILES AND LIGHT FIXTURES, MILLWORK, FINISHES AND REPLACE WITH NEW. RELOCATE & REPLACE PLUMBING FIXTURES WITH NEW. RELOCATE ELECTRICAL OUTLETS. ALTERATION TO EXISTING STAIRS & REPLACE STAIRS TO STORAGE SPACE. NEW SOLAR TUBULAR SKYLIGHTS. ADD TWO NEW DOOR WAYS/OPENING ON THE INTERIOR.","1326 H ST NE, WASHINGTON, DC 20002","1326 H ST NE","20002"
2017,"2017/12/28 05:00:00+00","ALTERATION AND REPAIR","New proposed work includes interior and exterior demolition, civil site work, alteration and repair of mechanical, plumbing, electrical and structural including interior work tenant improvement and exterior work on units and shared spaces, as well as solar photovoltaic work. Work to take place for the remodeling and improvement of lot 42 of Parkway Overlook Apartments development.","2841 ROBINSON PL SE, WASHINGTON, DC 20020","2841 ROBINSON PL SE","20020"
2017,"2017/07/03 04:00:00+00","ALTERATION AND REPAIR","1st 6-month Extension to Solar Permit SOL1600602 to expire on 01/08/2018","3218 PARK PL NW, WASHINGTON, DC 20010","3218 PARK PL NW","20010"
2017,"2017/07/03 04:00:00+00","ALTERATION AND REPAIR","1ST 6-MONTH EXTENSION TO SOLAR PERMIT SOL1600629 TO EXPIRE ON 01/12/2018","1937 LAMONT ST NW, WASHINGTON, DC 20010","1937 LAMONT ST NW","20010"
2017,"2017/11/20 05:00:00+00","ALTERATION AND REPAIR","INTERIOR PARTITION WALLS WILL BE REMOVED IN KITCHEN, DINING ROOM, LIVING ROOM AND FOYER. STEEL BEAMS WILL BE ADDED. UPDATE ELECTRICAL ON FIRST AND SECOND FLOORS. MODIFY KITCHEN. NEW POWDER ROOM IN SOLARIUM.","1821 BAY ST SE, WASHINGTON, DC 20003","1821 BAY ST SE","20003"
2017,"2017/08/11 04:00:00+00","ALTERATION AND REPAIR","Conversion of existing detached garage to ADU with no change in footpring. Alterations to exterior walls, new roof framing, new roofing and siding, green roof and solar panels, new windows and doors, new kitchen and full bathroom. New plumbing, electrical distribution and fixtures throughout, mini-split heating and cooling.","3406 RODMAN ST NW, WASHINGTON, DC 20008","3406 RODMAN ST NW","20008"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 3.7 kW size of 14 solar panels with a flush mount system on the roof of the building.","5530 NEVADA AVE NW, WASHINGTON, DC 20015","5530 NEVADA AVE NW","20015"
2017,"2017/01/27 05:00:00+00","SOLAR SYSTEM","To install 4.2 kW size of 16 solar panels with a flush mount system on the roof of the building.","1339 GALLATIN ST NW, WASHINGTON, DC 20011","1339 GALLATIN ST NW","20011"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 3.4 kw size of 13 solar panels with a system height of 2.9 feet on the roof of the building.","1303 TAYLOR ST NW, WASHINGTON, DC 20011","1303 TAYLOR ST NW","20011"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 4.8 kw size of 18 solar panels with a system height of 3.9 feet on the roof of the building.","1422 VARNUM ST NW, WASHINGTON, DC 20011","1422 VARNUM ST NW","20011"
2017,"2017/01/27 05:00:00+00","SOLAR SYSTEM","To install 4.2 kw size of 16 solar panels with a system height of 2.9 feet on the roof of the building.","127 BATES ST NW, WASHINGTON, DC 20001","127 BATES ST NW","20001"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 6.6 kw size of 25 solar panels with a system height of 3.9 feet on the roof of the building.","1334 A ST SE, WASHINGTON, DC 20003","1334 A ST SE","20003"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 19 kw size of 19 solar panels with a system height of 1.9 feet on the roof of the building.","1895 INGLESIDE TER NW, WASHINGTON, DC 20010","1895 INGLESIDE TER NW","20010"
2017,"2017/02/10 05:00:00+00","SOLAR SYSTEM","To install 6.1 kw size of 23 solar panels with a system height of 3.9 feet on the roof of the building.","1204 INGRAHAM ST NW, WASHINGTON, DC 20011","1204 INGRAHAM ST NW","20011"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 2.7 kw size of 10 solar panels with a system height of 1.9 feet on the roof of the building.","838 21ST ST NE, WASHINGTON, DC 20002","838 21ST ST NE","20002"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 5.8 kW size of 22 solar panels with a ballasted system on the roof of the building.","4324 GEORGIA AVE NW, WASHINGTON, DC 20011","4324 GEORGIA AVE NW","20011"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 6.6 kw size of 27 solar panels with a system height of 1.9 feet on the roof of the building.","218 10TH ST SE, WASHINGTON, DC 20003","218 10TH ST SE","20003"
2017,"2017/02/10 05:00:00+00","SOLAR SYSTEM","To install 8.0 kw size of 30 solar panels with a system height of 1.9 feet on the roof of the building.","4213 4TH ST NW, WASHINGTON, DC 20011","4213 4TH ST NW","20011"
2017,"2017/02/10 05:00:00+00","SOLAR SYSTEM","To install 2.7 kW size of 10 solar panels with a flush mount system on the roof of the building.","4900 W ST NW, WASHINGTON, DC 20007","4900 W ST NW","20007"
2017,"2017/02/23 05:00:00+00","SOLAR SYSTEM","To install 6.4 kw size of 24 solar panels with a system height of 1.9 feet on the roof of the building.","603 6TH PL SW, WASHINGTON, DC 20024","603 6TH PL SW","20024"
2017,"2017/02/10 05:00:00+00","SOLAR SYSTEM","To install 4.0 kw size of 15 solar panels with a system height of 2.9 feet on the roof of the building.","326 FARRAGUT ST NW, WASHINGTON, DC 20011","326 FARRAGUT ST NW","20011"
2017,"2017/02/23 05:00:00+00","SOLAR SYSTEM","To install 7.4 kw size of 28 solar panels with a system height of 3.9 feet on the roof of the building.","2013 BUNKER HILL RD NE, WASHINGTON, DC 20018","2013 BUNKER HILL RD NE","20018"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 4.8 kW size of 18 solar panels with a flush mount system on the roof of the building.","4875 COLORADO AVE NW, WASHINGTON, DC 20011","4875 COLORADO AVE NW","20011"
2017,"2017/02/10 05:00:00+00","SOLAR SYSTEM","To install 6.4 kw size of 24 solar panels with a system height of 1 foot on the roof of the building.","712 Q ST NW, WASHINGTON, DC 20001","712 Q ST NW","20001"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 23 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 6.4 KW 404 SQFT","5058 D ST SE, WASHINGTON, DC 20019","5058 D ST SE","20019"
2017,"2017/01/06 05:00:00+00","SOLAR SYSTEM","To install 5.4 kW size of 22 solar panels with a flush mount and ballast system on the roof of the building.","4312 YUMA ST NW, WASHINGTON, DC 20016","4312 YUMA ST NW","20016"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 4.8 kW size of 18 solar panels with a flush mount system on the roof of the building.","5038 QUEENS STROLL PL SE, WASHINGTON, DC 20019","5038 QUEENS STROLL PL SE","20019"
2017,"2017/01/06 05:00:00+00","SOLAR SYSTEM","To install 3.2 kw size of 12 solar panels with a system height of 3.9 feet on the roof of the building.","1834 INGLESIDE TER NW, WASHINGTON, DC 20010","1834 INGLESIDE TER NW","20010"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 5.8 kw size of 22 solar panels with a system height of 1.9 feet on the roof of the building.","714 4TH ST NE, WASHINGTON, DC 20002","714 4TH ST NE","20002"
2017,"2017/02/23 05:00:00+00","SOLAR SYSTEM","To install 5.3 kw size of 20 solar panels with a system height of 1.9 feet on the roof of the building.","321 35TH ST NE, WASHINGTON, DC 20019","321 35TH ST NE","20019"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 7.7 kW size of 29 solar panels with a flush mount system on the roof of the building.","918 42ND ST NE, WASHINGTON, DC 20019","918 42ND ST NE","20019"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 5.8 kw size of 22 solar panels with a system height of 1.9 feet on the roof of the building.","303 ANACOSTIA AVE NE, WASHINGTON, DC 20019","303 ANACOSTIA AVE NE","20019"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 5.0 kw size of 19 solar panels with a system height of 1.9 feet on the roof of the building.","621 ELLIOTT ST NE, WASHINGTON, DC 20002","621 ELLIOTT ST NE","20002"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 4.8 kw size of 18 solar panels with a system height of 3.9 feet on the roof of the building.","1408 SPRING RD NW, WASHINGTON, DC 20010","1408 SPRING RD NW","20010"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 4.2 kw size of 16 solar panels with a system height of 1.9 feet on the roof of the building.","4201 37TH ST NW, WASHINGTON, DC 20008","4201 37TH ST NW","20008"
2017,"2017/02/22 05:00:00+00","SOLAR SYSTEM","INSTALLATION OF 36 SOLAR PANELS MOUNTED FLUSH TO ROOF OR EXISTING SFD. 10.08 KW, 632 SQ FT.","4358 H ST SE, WASHINGTON, DC 20019","4358 H ST SE","20019"
2017,"2017/03/06 05:00:00+00","SOLAR SYSTEM","20 ROOF MOUNTED SOLAR PANELS - 5.4 kW","422 LAMONT ST NW, WASHINGTON, DC 20010","422 LAMONT ST NW","20010"
2017,"2017/02/10 05:00:00+00","SOLAR SYSTEM","To install 6.9 kW size of 26 solar panels with a flush mount system on the roof of the building.","1014 PERRY ST NE, WASHINGTON, DC 20017","1014 PERRY ST NE","20017"
2017,"2017/02/10 05:00:00+00","SOLAR SYSTEM","To install 4.2 kw size of 16 solar panels with a system height of 2.9 feet on the roof of the building.","1731 LYMAN PL NE, WASHINGTON, DC 20002","1731 LYMAN PL NE","20002"
2017,"2017/01/06 05:00:00+00","SOLAR SYSTEM","To install 3.2 kw size of 12 solar panels with a system height of 1.9 feet on the roof of the building.","4816 ILLINOIS AVE NW, WASHINGTON, DC 20011","4816 ILLINOIS AVE NW","20011"
2017,"2017/01/25 05:00:00+00","SOLAR SYSTEM","To install 3.2 kW size of 12 solar panels with a flush mount system on the roof of the building.","424 MARIETTA PL NW, WASHINGTON, DC 20011","424 MARIETTA PL NW","20011"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 4.8 kw size of 18 solar panels with a system height of 3.9 feet on the roof of the building.","305 TAYLOR ST NW, WASHINGTON, DC 20011","305 TAYLOR ST NW","20011"
2017,"2017/01/26 05:00:00+00","SOLAR SYSTEM","To install 8.0 kw size of 30 solar panels with a system height of 3.9 feet on the roof of the building.","316 ATLANTIC ST SE, WASHINGTON, DC 20032","316 ATLANTIC ST SE","20032"
2017,"2017/03/08 05:00:00+00","SOLAR SYSTEM","Installation of a roof mounted 4.5 kW solar PV system.","1509 PENNSYLVANIA AVE SE, WASHINGTON, DC 20003","1509 PENNSYLVANIA AVE SE","20003"
2017,"2017/02/02 05:00:00+00","SOLAR SYSTEM","Installation of a roof mounted 9.3 kW solar PV system","4107 18TH ST NW, WASHINGTON, DC 20011","4107 18TH ST NW","20011"
2017,"2017/04/24 04:00:00+00","SOLAR SYSTEM","Installation of a roof mounted 10.0kW solar PV system","1853 LAMONT ST NW, WASHINGTON, DC 20010","1853 LAMONT ST NW","20010"
2017,"2017/01/06 05:00:00+00","SOLAR SYSTEM","install 12 solar panel modules on roof of single family residence","1370 C ST NE, WASHINGTON, DC 20002","1370 C ST NE","20002"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 22 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD.  5.8 KW, 388 SQFT","4846 EASTERN AVE NE, WASHINGTON, DC 20017","4846 EASTERN AVE NE","20017"
2017,"2017/01/06 05:00:00+00","SOLAR SYSTEM","To install 4.0 kw size of 15 solar panels with a system height of 1.9 feet on the roof of the building.","3926 ILLINOIS AVE NW, WASHINGTON, DC 20011","3926 ILLINOIS AVE NW","20011"
2017,"2017/01/06 05:00:00+00","SOLAR SYSTEM","To install 24.4 kW size of 92 solar panels with a flush mount and ballast system on the roof of the building.","1832 BILTMORE ST NW, WASHINGTON, DC 20009","1832 BILTMORE ST NW","20009"
2017,"2017/04/12 04:00:00+00","SOLAR SYSTEM","To install 6.2 kw size of 19 solar panels with a system height of 1.7 feet on the roof of the building.","1221 33RD ST NW, WASHINGTON, DC 20007","1221 33RD ST NW","20007"
2017,"2017/01/13 05:00:00+00","SOLAR SYSTEM","INSTALLATION OF 18 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD.  4.8 KW, 316 SQ FT.","503 51ST ST SE, WASHINGTON, DC 20019","503 51ST ST SE","20019"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","To install 3.6 kW size of 16 solar panels with a flush mount system on the roof of the building.","1341 HAMILTON ST NW, WASHINGTON, DC 20011","1341 HAMILTON ST NW","20011"
2017,"2017/04/13 04:00:00+00","SOLAR SYSTEM","Addition of 21 panels to existing solar photovolatic system, roof mounted with ballasted racking, no mechanical attachments to roof. Additional panels will connect to existing solar inverter on roof. No new electrical interconnection to building is necessary.","1909 K ST NW, WASHINGTON, DC 20006","1909 K ST NW","20006"
2017,"2017/01/10 05:00:00+00","SOLAR SYSTEM","Install 18 Jinko 265 solar panels with Enphase M215 microinverters.  Roof Mounted.  Producing 4.77kW","1211 O ST NW, WASHINGTON, DC 20005","1211 O ST NW","20005"
2017,"2017/01/30 05:00:00+00","SOLAR SYSTEM","install 8 solar panel modules to roof of single family home","413 RANDOLPH ST NW, WASHINGTON, DC 20011","413 RANDOLPH ST NW","20011"
2017,"2017/04/13 04:00:00+00","SOLAR SYSTEM","Install 14 PV Solar Panels on the rooftop","6416 31ST PL NW, WASHINGTON, DC 20015","6416 31ST PL NW","20015"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 21 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 5.56 KW, 369 SQ FT.","127 57TH ST SE, WASHINGTON, DC 20019","127 57TH ST SE","20019"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 9 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 2.4 KW, 158 SQ FT.","435 NEWCOMB ST SE, WASHINGTON, DC 20032","435 NEWCOMB ST SE","20032"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 19 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 5.0 KW 334 SQ FT.","3551 TEXAS AVE SE, WASHINGTON, DC 20020","3551 TEXAS AVE SE","20020"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 10 SOLAR PANELS MOUNTED FLUSH TO ROOF ON EXISTING SFD. 2.7 KW, 175 SQ FT.","4323 VARNUM PL NE, WASHINGTON, DC 20017","4323 VARNUM PL NE","20017"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 14 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 3.7 KW, 246 SQ FT","3934 BURNS PL SE, WASHINGTON, DC 20019","3934 BURNS PL SE","20019"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","To install 3.57 kW size of 14 solar panels with a flush mount system on the roof of the building.","638 CHAPLIN ST SE, WASHINGTON, DC 20019","638 CHAPLIN ST SE","20019"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 12 SOLAR PANEL MOUNTED FLUSH TO ROOF ON EXISTING SFD. 3.12 KW, 211 SQ FT.","3132 W ST SE, WASHINGTON, DC 20020","3132 W ST SE","20020"
2017,"2017/08/24 04:00:00+00","SOLAR SYSTEM","Construction of a rooftop photovoltaic panel array including the installation of ancillary transmission equipment.","6315 5TH ST NW, WASHINGTON, DC 20011","6315 5TH ST NW","20011"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","small residential rooftop solar panel system, flat on the roof, 5.9kW system size, not visible from the street","702 EAST CAPITOL ST NE, WASHINGTON, DC 20003","702 EAST CAPITOL ST NE","20003"
2017,"2017/02/10 05:00:00+00","SOLAR SYSTEM","To install 7.8 kW size of 24 solar panels with a ballasted system on the roof of the building.","232 SOUTH CAROLINA AVE SE, WASHINGTON, DC 20003","232 SOUTH CAROLINA AVE SE","20003"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 3.2 kW size of 12 solar panels with a flush mount system on the roof of the building.","1619 KENNEDY PL NW, WASHINGTON, DC 20011","1619 KENNEDY PL NW","20011"
2017,"2017/03/29 04:00:00+00","SOLAR SYSTEM","install 16 solar panels to roof of single family home","1943 BILTMORE ST NW, WASHINGTON, DC 20009","1943 BILTMORE ST NW","20009"
2017,"2017/03/30 04:00:00+00","SOLAR SYSTEM","To install 4.0 kw size of 15 solar panels with a system height of 1.9 feet on the roof of the building.","2207 12TH PL NW, WASHINGTON, DC 20009","2207 12TH PL NW","20009"
2017,"2017/01/06 05:00:00+00","SOLAR SYSTEM","To install 3.7 kW size of 14 solar panels with a flush mount system on the roof of the building.","2503 BRENTWOOD RD NE, WASHINGTON, DC 20018","2503 BRENTWOOD RD NE","20018"
2017,"2017/04/21 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF A GRID TIE SOLAR SYSTEM","1512 45TH ST NE, WASHINGTON, DC 20019","1512 45TH ST NE","20019"
2017,"2017/06/27 04:00:00+00","SOLAR SYSTEM","INSTALLTION OF A GRID TIED SOLAR SYSTEM","4411 QUARLES ST NE, WASHINGTON, DC 20019","4411 QUARLES ST NE","20019"
2017,"2017/03/06 05:00:00+00","SOLAR SYSTEM","12 roof mounted solar panels - 3.24 kW","735 DECATUR ST NE, WASHINGTON, DC 20017","735 DECATUR ST NE","20017"
2017,"2017/02/17 05:00:00+00","SOLAR SYSTEM","INSTALLATION OF 16 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 4.2 KW, 281 SQ FT.","2211 EVARTS ST NE, WASHINGTON, DC 20018","2211 EVARTS ST NE","20018"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","To install 5.2 kW size of 20 solar panels with a system height of 1.8 feet on the roof of the building.","636 F ST NE, WASHINGTON, DC 20002","636 F ST NE","20002"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 19 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 4.9 KW, 334 SQ FT.","2710 JAMES M MCGEE JR ST SE, WASHINGTON, DC 20020","2710 JAMES M MCGEE JR ST SE","20020"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 30 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 10.08 KW  562 SQ FT.  
JOB IS A RE-PERMIT FROM SOL1700120 . MODULE TYPE WAS REPLACED, NUMBER OF PANELS WAS DECREASED FROM 33 TO 32.  INVERTER TYPE WAS CHANGED.","30 UNDERWOOD PL NE, WASHINGTON, DC 20012","30 UNDERWOOD PL NE","20012"
2017,"2017/03/23 04:00:00+00","SOLAR SYSTEM","Installation of 28 325w modules for 9.1kw roof-mounted solar system with 7.6kw inverter","3115 NEBRASKA AVE NW, WASHINGTON, DC 20016","3115 NEBRASKA AVE NW","20016"
2017,"2017/03/20 04:00:00+00","SOLAR SYSTEM","16 ROOF MOUNTED SOLAR PANELS - 5.12 kW","1850 3RD ST NW, WASHINGTON, DC 20001","1850 3RD ST NW","20001"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 13 kW size of 49 solar panels with a ballasted system on the roof of the building.","338 ADAMS ST NE, WASHINGTON, DC 20002","338 ADAMS ST NE","20002"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 13 kW size of 49 solar panels with a ballasted system on the roof of the building.","336 ADAMS ST NE, WASHINGTON, DC 20002","336 ADAMS ST NE","20002"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 3.3 kw size of 13 solar panels with a system height of 1.9 feet on the roof of the building.","5227 2ND ST NW, WASHINGTON, DC 20011","5227 2ND ST NW","20011"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 3.3 kW size of 13 solar panels with a flush mount system on the roof of the building.","1927 U PL SE, WASHINGTON, DC 20020","1927 U PL SE","20020"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 5.0 kW size of 19 solar panels with a flush mount system on the roof of the building.","5004 13TH ST NW, WASHINGTON, DC 20011","5004 13TH ST NW","20011"
2017,"2017/04/13 04:00:00+00","SOLAR SYSTEM","Install 3.18kw roof mounted solar pv system using 12 Jinko 265 watt modules and 12 Enphase M250 microinverters.","1021 10TH ST NE, WASHINGTON, DC 20002","1021 10TH ST NE","20002"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 17 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 4.76 KW. 299 SQ FT.","3207 15TH ST NE, WASHINGTON, DC 20017","3207 15TH ST NE","20017"
2017,"2017/03/28 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 16 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD.  4.48 KW,  281 SQ FT.","5005 11TH ST NE, WASHINGTON, DC 20017","5005 11TH ST NE","20017"
2017,"2017/04/14 04:00:00+00","SOLAR SYSTEM","install 12 solar panels to roof of single family home","5743 13TH ST NW, WASHINGTON, DC 20011","5743 13TH ST NW","20011"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 8 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 2.24 KW 140 SQ FT.","4342 H ST SE, WASHINGTON, DC 20019","4342 H ST SE","20019"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 7.7 kW size of 29 solar panels with a ballasted system on the roof of the building.","2910 GEORGIA AVE NW, WASHINGTON, DC 20001","2910 GEORGIA AVE NW","20001"
2017,"2017/06/07 04:00:00+00","SOLAR SYSTEM","To install 3.2 kW size of 12 solar panels with a ballasted system on the roof of the building.","3214 RESERVOIR RD NW, WASHINGTON, DC 20007","3214 RESERVOIR RD NW","20007"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 4.0 kw size of 15 solar panels with a system height of 1.9 feet on the roof of the building.","907 MASSACHUSETTS AVE NE, WASHINGTON, DC 20002","907 MASSACHUSETTS AVE NE","20002"
2017,"2017/04/03 04:00:00+00","SOLAR SYSTEM","16 ROOF MOUNTED SOLAR PANELS - 4.32 KW","1209 V ST NW, WASHINGTON, DC 20009","1209 V ST NW","20009"
2017,"2017/04/19 04:00:00+00","SOLAR SYSTEM","To install 6.4 kW size of 24 solar panels with a ballasted system on the roof of the building.","3006 ARIZONA AVE NW, WASHINGTON, DC 20016","3006 ARIZONA AVE NW","20016"
2017,"2017/04/26 04:00:00+00","SOLAR SYSTEM","To install 6.4 kW size of 24 solar panels with a flush mount system on the roof of the building.","4831 ALBEMARLE ST NW, WASHINGTON, DC 20016","4831 ALBEMARLE ST NW","20016"
2017,"2017/04/05 04:00:00+00","SOLAR SYSTEM","To install 5.3 kw size of 20 solar panels with a system height of 2.9 feet on the roof of the building.","741 CONGRESS ST SE, WASHINGTON, DC 20032","741 CONGRESS ST SE","20032"
2017,"2017/03/30 04:00:00+00","SOLAR SYSTEM","To install 4.5 kW size of 17 solar panels with a flush mount system on the roof of the building.","4600 43RD ST NW, WASHINGTON, DC 20016","4600 43RD ST NW","20016"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 3.7 kw size of 12 solar panels with a system height of 1.9 feet on the roof of the building.","331 18TH PL NE, WASHINGTON, DC 20002","331 18TH PL NE","20002"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 3.2 kw size of 12 solar panels with a system height of 1.9 feet on the roof of the building.","2923 BELLEVUE TER NW, WASHINGTON, DC 20016","2923 BELLEVUE TER NW","20016"
2017,"2017/03/28 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF12 SOLAR PANELS MOUNTED FLUSH TO ROOF ON EXISTING SFD. 3.78 KW,  210 SQ FT","3104 CITYSCAPE DR NE, WASHINGTON, DC 20018","3104 CITYSCAPE DR NE","20018"
2017,"2017/04/11 04:00:00+00","SOLAR SYSTEM","Install 12 solar panels to roof of SFD","4943 MASSACHUSETTS AVE NW, WASHINGTON, DC 20016","4943 MASSACHUSETTS AVE NW","20016"
2017,"2017/04/03 04:00:00+00","SOLAR SYSTEM","Revision of solar permit SOL1700006. Placement of mounts.","413 RANDOLPH ST NW, WASHINGTON, DC 20011","413 RANDOLPH ST NW","20011"
2017,"2017/04/13 04:00:00+00","SOLAR SYSTEM","Install 5.185kw roof mounted solar pv system using 17 LG305w modules.","615 57TH ST NE, WASHINGTON, DC 20019","615 57TH ST NE","20019"
2017,"2017/08/30 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF 11 SOLAR PANELS MOUNTED FLUSH TO ROOF OF EXISTING SFD. 3.3 KW, 193 SQ FT","4803 BUTTERWORTH PL NW, WASHINGTON, DC 20016","4803 BUTTERWORTH PL NW","20016"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 4.8 kw size of 18 solar panels with a system height of 1.9 feet on the roof of the building.","4730 8TH ST NW, WASHINGTON, DC 20011","4730 8TH ST NW","20011"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 5.8 kw size of 22 solar panels with a system height of 1.9 feet on the roof of the building.","1816 ONTARIO PL NW, WASHINGTON, DC 20009","1816 ONTARIO PL NW","20009"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 2.1 kw size of 8 solar panels with a system height of 2.9 feet on the roof of the building.","640 Q ST NW, WASHINGTON, DC 20001","640 Q ST NW","20001"
2017,"2017/03/15 04:00:00+00","SOLAR SYSTEM","To install 5.3 kW size of 20 solar panels with a ballasted system on the roof of the building.","5147 CATHEDRAL AVE NW, WASHINGTON, DC 20016","5147 CATHEDRAL AVE NW","20016"
2017,"2017/04/21 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF A GRID TIED SOLAR SYSTEM","4405 QUARLES ST NE, WASHINGTON, DC 20019","4405 QUARLES ST NE","20019"
2017,"2017/04/21 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF GRID TIED SOLAR SYSTEM","4468 PONDS ST NE, WASHINGTON, DC 20019","4468 PONDS ST NE","20019"
2017,"2017/04/04 04:00:00+00","SOLAR SYSTEM","INSTALLATION OF A GRID TIED SOLAR SYSTEM","1522 45TH ST NE, WASHINGTON, DC 20019","1522 45TH ST NE","20019"
